type	var.name	description	notes
parenting	parent_PSI_total_t2	Total Stress	N/A
parenting	parent_PSI_parentdistress_t2	Parental Distress	N/A
parenting	parent_PSI_PC_dysfunc_t2	Parent-Child Dysfunction	N/A
parenting	parent_PSI_DiffChild_t2	Difficult Child	N/A
parenting	parent_PSOC_TOT_t1	Parenting Sense of Competency	N/A
parenting	parent_PSI_parentdistress_t1	Parental Distress	N/A
parenting	parent_PSI_PC_dysfunc_t1	Parent-Child Dysfunction	N/A
parenting	parent_PSI_DiffChild_t1	Difficult Child	N/A
parenting	parent_PSI_total_t1	Total Stress	N/A
parenting	parent_APCA_TOT_t2	Awareness & Present-Centered Attention	N/A
parenting	parent_NJ_TOT_t2	IEMP Non-judgment	N/A
parenting	parent_NR_TOT_t2	IEMP Non-reactivity	N/A
parenting	parent_AWATOT_t2	Act with Awareness Items	N/A
parenting	parent_NJDTOT_t2	FFMQ Non-judgment	N/A
parenting	parent_NRCTOT_t2	FFMQ Non-reactivity	N/A
parenting	parent_ACES_4L_t1	Parent Adverse Childhood Events	N/A
child behavior	child_behav_SCARED_AnxTOT_t2	SCARED Total	N/A
child behavior	child_behav_SCARED_PD_t2	Panic Disorder or Significant Somatic Symptoms	N/A
child behavior	child_behav_SCARED_GAD_t2	Generalized Anxiety Disorder	N/A
child behavior	child_behav_SCARED_SEP_t2	Separation Anxiety	N/A
child behavior	child_behav_SCARED_SOC_t2	Social Anxiety Disorder	N/A
child behavior	child_behav_SCARED_school_t2	Significant School Avoidance	N/A
child behavior	child_behav_SCARED_Anx_Clin_t2	SCARED Total (Clinical)	"clinical=1, 0=not"
child behavior	child_behav_SCARED_PD_Clin_t2	Panic Disorder or Significant Somatic Symptoms (Clinical)	"clinical=1, 0=not"
child behavior	child_behav_SCARED_GAD_Clin_t2	Generalized Anxiety Disorder (Clinical)	"clinical=1, 0=not"
child behavior	child_behav_SCARED_SEP_Clin_t2	Separation Anxiety (Clinical)	"clinical=1, 0=not"
child behavior	child_behav_SCARED_SOC_Clin_t2	Social Anxiety Disorder (Clinical)	"clinical=1, 0=not"
child behavior	child_behav_SCARED_school_Clin_t2	Significant School Avoidance (Clinical)	"clinical=1, 0=not"
child behavior	child_behav_CBQ_fear_t1	CBQ Fear	N/A
child behavior	child_behav_CBQ_Sadness_t1	CBQ Sadness	N/A
child behavior	child_behav_CBQ_impuls_t1	CBQ Impulsivity	N/A
child behavior	child_behav_CBQ_IC_t1	CBQ Inhibitory Control	N/A
child behavior	child_behav_CBQ_angfrust_t1	CBQ  Anger Frustration	N/A
child behavior	child_behav_CBCL_anxproblems_t1	CBCL Anxiety Problems 	N/A
child behavior	child_behav_CBCL_depression_t1	CBCL Depressive Problems	N/A
child behavior	child_behav_CBCL_emot_react_t1	CBCL Emotionally Reactive	N/A
child behavior	child_behav_CBCL_anx_depress_t1	CBCL Anxious Depressed	N/A
child behavior	child_behav_CBCL_intern_t1	CBCL Internalizing Behavior	N/A
